observation_date,CSI
2014-12-01,13.45455
2015-01-01,20.81281
2015-02-01,16.91176
2015-03-01,16.25
2015-04-01,14.03092
2015-05-01,10.74481
2015-06-01,16.48485
2015-07-01,13.81418
2015-08-01,11.39394
2015-09-01,3.07329
2015-10-01,3.56732
2015-11-01,2.81532
2015-12-01,-1.06838
2016-01-01,-6.21814
2016-02-01,-3.87841
2016-03-01,-2.15054
2016-04-01,-7.19499
2016-05-01,4.41014
2016-06-01,-2.70552
2016-07-01,-3.32975
2016-08-01,-2.28509
2016-09-01,4.58716
2016-10-01,-3.11111
2016-11-01,2.73823
2016-12-01,6.04752
2017-01-01,7.06522
2017-02-01,5.01636
2017-03-01,6.48352
2017-04-01,8.98876
2017-05-01,2.53432
2017-06-01,1.60428
2017-07-01,3.77778
2017-08-01,7.7951
2017-09-01,4.27632
2017-10-01,15.48165
2017-11-01,5.01066
2017-12-01,-2.34216
2018-01-01,-2.84264
2018-02-01,3.53063
2018-03-01,4.64396
2018-04-01,1.85567
2018-05-01,0.92688
2018-06-01,3.36842
2018-07-01,4.81799
2018-08-01,-0.61983
2018-09-01,5.25762
2018-10-01,-2.0854
2018-11-01,-1.01523
2018-12-01,2.50261
2019-01-01,-4.70219
2019-02-01,-5.91775
2019-03-01,-2.95858
2019-04-01,-1.61943
2019-05-01,2.04082
2019-06-01,0.0
2019-07-01,0.51073
2019-08-01,-6.65281
2019-09-01,-6.89311
2019-10-01,-3.14402
2019-11-01,-0.71795
2019-12-01,1.01729
2020-01-01,9.42982
2020-02-01,7.67591
2020-03-01,-9.45122
2020-04-01,-26.13169
2020-05-01,-27.7
2020-06-01,-20.46843
2020-07-01,-26.32114
2020-08-01,-17.4833
2020-09-01,-13.73391
2020-10-01,-14.34555
2020-11-01,-20.55785
2020-12-01,-18.73112
2021-01-01,-20.84168
2021-02-01,-23.9604
2021-03-01,-4.7138
2021-04-01,22.9805
2021-05-01,14.66113
2021-06-01,9.47503
2021-07-01,12.0
2021-08-01,-5.12821
2021-09-01,-9.45274
2021-10-01,-12.34719
2021-11-01,-12.35371
2021-12-01,-12.51549
2022-01-01,-14.93671
2022-02-01,-18.22917
2022-03-01,-30.03534
2022-04-01,-26.16082
2022-05-01,-29.55368
2022-06-01,-41.52047
2022-07-01,-36.57635
2022-08-01,-17.21195
2022-09-01,-19.50549
2022-10-01,-16.45746
2022-11-01,-15.87537
2022-12-01,-15.29745
2023-01-01,-3.42262
2023-02-01,6.52866
2023-03-01,4.3771
2023-04-01,-2.30061
2023-05-01,1.0274
2023-06-01,28.4
2023-07-01,38.83495
2023-08-01,19.24399
2023-09-01,15.69966
2023-10-01,6.51085
2023-11-01,8.11287
2023-12-01,16.55518
2024-01-01,21.72573
2024-02-01,14.94768
2024-03-01,28.06452
2024-04-01,21.19309
2024-05-01,17.11864
2024-06-01,6.23053
2024-07-01,-7.13287
2024-08-01,-2.16138
2024-09-01,3.39233
2024-10-01,10.50157
2024-11-01,17.12887
