date,copper_value,alu_value
2014-11-01,6712.85,2055.555
2014-12-01,6446.45238095238,1909.45952380952
2015-01-01,5830.53571428571,1814.71904761905
2015-02-01,5729.275,1817.82
2015-03-01,5939.67045454545,1773.86363636364
2015-04-01,6042.0875,1819.1875
2015-05-01,6294.77631578947,1804.03947368421
2015-06-01,5833.01136363636,1687.72727272727
2015-07-01,5456.75,1639.5
2015-08-01,5127.3,1548.125
2015-09-01,5217.25,1589.60227272727
2015-10-01,5216.09090909091,1516.48863636364
2015-11-01,4799.90476190476,1467.89285714286
2015-12-01,4638.83333333333,1497.20238095238
2016-01-01,4471.7875,1481.1
2016-02-01,4598.61904761905,1531.2619047619
2016-03-01,4953.79761904762,1531.0119047619
2016-04-01,4872.7380952381,1571.22619047619
2016-05-01,4694.5375,1550.625
2016-06-01,4641.96590909091,1593.50681818182
2016-07-01,4864.90476190476,1629.04761904762
2016-08-01,4751.67045454545,1639.28409090909
2016-09-01,4722.20454545455,1592.36363636364
2016-10-01,4731.2619047619,1665.90476190476
2016-11-01,5450.93181818182,1737.11363636364
2016-12-01,5660.35,1727.7375
2017-01-01,5754.55952380952,1791.2380952381
2017-02-01,5940.9125,1860.75
2017-03-01,5824.63043478261,1901.46739130435
2017-04-01,5683.90277777778,1921.22222222222
2017-05-01,5599.55952380952,1913.02380952381
2017-06-01,5719.76136363636,1885.28636363636
2017-07-01,5985.11904761905,1902.96428571429
2017-08-01,6485.625,2030.01136363636
2017-09-01,6577.16666666667,2096.4880952381
2017-10-01,6807.60227272727,2131.48863636364
2017-11-01,6826.54545454545,2097.44090909091
2017-12-01,6833.8947368421,2080.47368421053
2018-01-01,7065.85227272727,2209.72727272727
2018-02-01,7006.525,2181.7875
2018-03-01,6799.17857142857,2069.2380952381
2018-04-01,6851.5125,2254.6875
2018-05-01,6825.27380952381,2299.66666666667
2018-06-01,6965.85714285714,2237.61904761905
2018-07-01,6250.75,2082.23863636364
2018-08-01,6051.04545454545,2051.51136363636
2018-09-01,6050.7625,2026.4625
2018-10-01,6219.58695652174,2029.85869565217
2018-11-01,6195.92045454545,1938.51136363636
2018-12-01,6075.31578947368,1920.38157894737
2019-01-01,5939.10227272727,1853.71590909091
2019-02-01,6300.4875,1862.9875
2019-03-01,6439.46428571429,1871.21428571429
2019-04-01,6438.3625,1845.425
2019-05-01,6017.90476190476,1781.2619047619
2019-06-01,5882.225,1755.95
2019-07-01,5941.19565217391,1796.98913043478
2019-08-01,5709.44047619048,1740.67857142857
2019-09-01,5759.25,1753.5119047619
2019-10-01,5757.29782608696,1725.95652173913
2019-11-01,5859.95238095238,1774.78571428571
2019-12-01,6077.0625,1771.38
2020-01-01,6031.20909090909,1773.09090909091
2020-02-01,5687.75,1688.095
2020-03-01,5182.63181818182,1610.89090909091
2020-04-01,5057.972,1459.9345
2020-05-01,5239.82631578947,1466.37157894737
2020-06-01,5754.59545454546,1568.57045454545
2020-07-01,6372.46086956522,1643.81217391304
2020-08-01,6508.39285714286,1738.55523809524
2020-09-01,6704.9,1743.77454545455
2020-10-01,6713.81136363636,1806.10181818182
2020-11-01,7068.90714285714,1935.28333333333
2020-12-01,7772.2380952381,2014.6719047619
2021-01-01,7972.1475,2003.9755
2021-02-01,8470.94,2078.5935
2021-03-01,8988.24782608696,2190.48260869565
2021-04-01,9324.8175,2319.3925
2021-05-01,10166.285,2434.7765
2021-06-01,9631.5,2446.64545454545
2021-07-01,9450.82045454546,2497.63545454545
2021-08-01,9370.13857142857,2602.99190476191
2021-09-01,9324.70954545455,2834.55681818182
2021-10-01,9829.21904761905,2934.39380952381
2021-11-01,9728.90454545454,2636.45227272727
2021-12-01,9551.18,2695.53142857143
2022-01-01,9782.3375,3005.9805
2022-02-01,9943.175,3245.7855
2022-03-01,10230.8939130435,3498.37304347826
2022-04-01,10174.3476190476,3246.99047619048
2022-05-01,9395.02727272727,2839.50545454545
2022-06-01,9067.55181818182,2575.66954545455
2022-07-01,7544.80952380952,2408.42333333333
2022-08-01,7990.81217391304,2433.91608695652
2022-09-01,7746.01136363636,2224.75590909091
2022-10-01,7651.08285714286,2255.53523809524
2022-11-01,8049.86136363636,2350.71636363636
2022-12-01,8371.09136363636,2398.20681818182
2023-01-01,9007.34636363636,2494.90090909091
2023-02-01,8936.587,2416.1815
2023-03-01,8856.31086956522,2296.41695652174
2023-04-01,8809.1575,2338.131
2023-05-01,8243.15608695652,2274.01260869565
2023-06-01,8396.51772727273,2184.75363636364
2023-07-01,8476.67904761905,2159.73238095238
2023-08-01,8347.82826086957,2135.58173913043
2023-09-01,8276.71380952381,2184.67380952381
2023-10-01,7941.35590909091,2194.39090909091
2023-11-01,8189.58772727273,2202.25545454545
2023-12-01,8407.90047619048,2192.00523809524
2024-01-01,8351.33956521739,2201.56652173913
2024-02-01,8304.95047619048,2179.45714285714
2024-03-01,8692.81904761905,2229.4419047619
2024-04-01,9445.59363636363,2499.22818181818
2024-05-01,10117.1634782609,2566.31869565217
2024-06-01,9648.167,2497.6055
2024-07-01,9385.31304347826,2349.1252173913
2024-08-01,8981.11772727273,2352.46727272727
2024-09-01,9259.12857142857,2457.4780952381
2024-10-01,9533.99130434783,2595.58304347826
2024-11-01,9075.72714285714,2582.18857142857
